year,make,model,stock_number,is_new,vin,exterior_color,interior_color,engine_cylinders,doors,transmission,invoice_amount,selling_price,trim,epa_city,epa_highway,fuel_type,drive_train,transmission_description,msrp,miles,vehicle_description,certified,epa_unit,shorten_vdp_url
2018,Ford,Explorer,18F611,FALSE,1FM5K8GT9JGB80131,Ingot Silver Metallic,Black,NULL,NULL,6-Speed Shiftable Automatic (null),46995,45000,Sport,NULL,NULL,Unleaded,AWD,EcoBoost 3.5L Twin Turbo V6 365hp 350ft. lbs.,53110,NULL,NULL,NULL,NULL,NULL
2019,Nissan,Altima,KC120064,FALSE,1N4BL4DV4KC120064,NULL,NULL,NULL,NULL,Xtronic CVT,24995,NULL,2.5 SV,NULL,NULL,NULL,FWD,2.5L I4 188hp 180ft. lbs.,26995,NULL,NULL,NULL,NULL,NULL
2019,Nissan,Maxima,KC365919,FALSE,1N4AA6AV8KC365919,NULL,NULL,NULL,NULL,7-Speed Shiftable CVT,40495,NULL,Platinum,NULL,NULL,NULL,FWD,3.5L V6 300hp 261ft. lbs.,44435,NULL,NULL,NULL,NULL,NULL
2019,Ford,F-150,KKC15285,FALSE,1FTEW1E50KKC15285,NULL,NULL,NULL,NULL,10-Speed Shiftable Automatic,44995,NULL,XLT,NULL,NULL,NULL,4X4,5.0L Flex Fuel V8 395hp 400ft. lbs.,52760,NULL,NULL,NULL,NULL,NULL
2019,Nissan,Titan,KN509619,FALSE,1N6AA1E54KN509619,NULL,NULL,NULL,NULL,7-Speed Shiftable Automatic,46950,NULL,SL,NULL,NULL,NULL,4X4,5.6L V8 390hp 394ft. lbs.,51700,NULL,NULL,NULL,NULL,NULL
2017,Toyota,Camry,HU365554,FALSE,4T1BF1FK5HU365554,Celestial Silver,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,XSE,NULL,NULL,Gasoline,FWD,2.5L I4 178hp 170ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2018,Dodge,Grand Caravan,JR331810,FALSE,2C4RDGEG9JR331810,Granite Pearlcoat,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,GT,NULL,NULL,Gasoline,FWD,Pentastar 3.6L Flex Fuel V6 283hp 260ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Nissan,Sentra,LY275441,TRUE,3N1AB8CV8LY275441,Brilliant Silver,NULL,NULL,NULL,Xtronic CVT,NULL,NULL,SV,NULL,NULL,Gasoline,FWD,2.0L I4 149hp 146ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ram,Ram Pickup 1500 Classic,LS141619,TRUE,1C6RR7KT6LS141619,Iced Mocha,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,Express,NULL,NULL,Gasoline,4X4,HEMI 5.7L V8 395hp 410ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2017,Toyota,Tundra,HX620455,FALSE,5TFAY5F19HX620455,Blue Crush Metallic,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,Platinum,NULL,NULL,Gasoline,4X4,5.7L V8 381hp 401ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
